item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
StatTrak™ AWP | PAW (Field-Tested),3.8,-84.0,16.02,155667,1359,683279.0,4616.0,4.23,3.38
StatTrak™ Glock-18 | Weasel (Well-Worn),0.9,-95.0,15.97,153285,1094,219885.0,835.0,1.51,0.76
Glock-18 | Block-18 (Factory New),2.5,-82.0,15.94,38120,3424,118136.0,8198.0,2.56,2.41
'The Doctor' Romanov | Sabre,10.4,29.0,15.84,842251,6526,3266479.0,65131.0,5.7,10.15
USP-S | Night Ops (Factory New),0.5,-91.0,15.72,754320,5563,385745.0,3121.0,0.6,0.56
Paris 2023 Overpass Souvenir Package,2.0,-30.0,15.71,161516,6705,360975.0,12704.0,1.95,1.81
Five-SeveN | Violent Daimyo (Factory New),0.6,-87.0,15.66,445181,1985,208199.0,1254.0,0.47,0.64
M4A4 | Griffin (Minimal Wear),2.4,-57.0,15.66,1429639,1427,2144078.0,3144.0,2.36,2.21
Dual Berettas | Melondrama (Minimal Wear),3.1,-88.0,15.65,118135,3057,463725.0,9293.0,3.64,2.98
M4A4 | Tooth Fairy (Battle-Scarred),2.2,-92.0,15.58,224060,3400,663446.0,7422.0,2.94,2.19
P250 | Valence (Factory New),0.6,-89.0,15.45,629553,1273,248512.0,807.0,0.48,0.64
Glock-18 | Nuclear Garden (Factory New),5.2,-86.0,15.36,57814,1389,548551.0,6356.0,9.07,4.64
M4A1-S | Night Terror (Minimal Wear),0.6,-96.0,15.3,964540,21433,1169113.0,13381.0,1.11,0.63
M4A4 | Etch Lord (Factory New),2.7,-77.0,15.22,13078,1234,44310.0,3181.0,2.77,2.6
Glock-18 | Water Elemental (Battle-Scarred),3.1,-61.0,15.2,330833,1208,838009.0,3512.0,2.72,2.9
Glock-18 | Candy Apple (Factory New),0.7,-96.0,15.17,2388084,22209,1666240.0,13723.0,0.82,0.62
Sticker | Assassin,1.0,347.0,15.14,250465,1358,212150.0,1458.0,0.92,1.08
AWP | Mortis (Well-Worn),2.4,-93.0,15.02,183472,1661,492517.0,3567.0,3.37,2.15
StatTrak™ PP-Bizon | Space Cat (Minimal Wear),1.3,-87.0,14.82,61514,1270,83826.0,1497.0,1.35,1.16
R8 Revolver | Amber Fade (Factory New),0.8,-96.0,14.77,563872,4111,517595.0,3426.0,0.86,0.83
Galil AR | Signal (Minimal Wear),0.9,-79.0,14.77,659609,4457,383486.0,3441.0,0.64,0.78
StatTrak™ Glock-18 | Umbral Rabbit (Minimal Wear),2.1,-87.0,14.6,40477,1731,147811.0,3434.0,2.84,1.99
XM1014 | Incinegator (Field-Tested),1.5,-77.0,14.57,424710,2259,688555.0,3249.0,1.5,1.42
P250 | Vino Primo (Field-Tested),1.3,-43.0,14.48,78957,2398,266964.0,3122.0,3.27,1.3
AWP | Phobos (Factory New),2.0,-88.0,14.35,957851,2538,1958785.0,4671.0,1.89,1.85
AK-47 | Safety Net (Battle-Scarred),2.6,-88.0,14.32,63818,1516,251288.0,3726.0,4.36,2.45
StatTrak™ USP-S | Cortex (Well-Worn),4.3,-89.0,14.31,125127,1189,656628.0,4399.0,6.71,3.73
USP-S | Flashback (Well-Worn),0.6,-52.0,14.15,241163,1751,168258.0,947.0,0.71,0.54
